# ==============================================,,,,,,,,,
# TCC - Log de Teste de Envelhecimento,,,,,,,,,
# ==============================================,,,,,,,,,
# Data/Hora Início: 2026-01-10 11:52:13,,,,,,,,,
# ,,,,,,,,,
# PARÂMETROS PID (FIXOS):,,,,,,,,,
#   Kp = 2.780000,,,,,,,,,
#   Ki = 0.00106000,,,,,,,,,
#   Kd = 5.000000,,,,,,,,,
# ,,,,,,,,,
# MODELO FOPDT IDENTIFICADO:,,,,,,,,,
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1),,,,,,,,,
#   K = 1.56 °C/%,,,,,,,,,
#   θ = 150.6 s,,,,,,,,,
#   τ = 1307.2 s,,,,,,,,,
# ,,,,,,,,,
# CONFIGURAÇÃO:,,,,,,,,,
#   Taxa de Rampa: 1.0 °C/s,,,,,,,,,
#   Intervalo de Amostragem: 1000 ms,,,,,,,,,
#   Janela PWM (SSR): 5000 ms,,,,,,,,,
# ,,,,,,,,,
# LIMITES DE SEGURANÇA:,,,,,,,,,
#   Temp. Máx. Forno: 130.0 °C,,,,,,,,,
#   Temp. Máx. DUT: 130.0 °C,,,,,,,,,
#   Corrente Máx. PSU: 1.5 A,,,,,,,,,
# ==============================================,,,,,,,,,
# ,,,,,,,,,
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt,
100.999,44.95,100,100,1,0.049,36.902,59,0.993,433.837
102,45.07,100,100,1,0.049,37.271,60,0.993,434.838
102.999,45.21,100,100,1,0.049,37.537,58,0.993,435.837
103.999,45.25,100,100,1,0.049,37.129,60,0.996,436.837
104.999,45.24,100,100,1,0.049,37.404,60,0.994,437.837
106,45.32,100,100,1,0.049,37.537,60,0.992,438.838
106.999,45.42,100,100,1,0.049,37.301,61,0.993,439.837
108,45.47,100,100,1,0.049,37.537,58,0.995,440.838
108.999,45.51,100,100,1,0.049,36.39,60,0.993,441.837
109.999,45.61,100,100,1,0.049,37.025,58,0.993,442.837
111,45.57,100,100,1,0.049,36.769,60,0.993,443.838
111.999,45.73,100,100,1,0.049,37.557,59,0.993,444.837
112.999,45.73,100,100,1,0.049,37.291,60,0.994,445.837
113.999,45.82,100,100,1,0.049,36.922,58,0.994,446.837
114.999,45.86,100,100,1,0.049,36.922,59,0.993,447.837
115.999,45.96,100,100,1,0.049,37.557,60,0.993,448.837
116.999,46.05,100,100,1,0.049,36.769,58,0.993,449.837
117.999,46.09,100,100,1,0.049,36.902,59,0.993,450.837
118.999,46.15,100,100,1,0.049,37.424,58,0.992,451.837
119.999,46.18,100,100,1,0.049,37.178,58,0.993,452.837
120.999,46.36,100,100,1,0.049,37.547,59,0.993,453.837
121.999,46.4,100,100,1,0.049,37.527,60,0.993,454.837
122.999,46.5,100,100,1,0.049,37.793,60,0.993,455.837
