Data,Hora,Temperatura,Slack,Tensão
07/04/2025,12:56:52,102350,138,1300
07/04/2025,12:56:54,103148,137,1301
07/04/2025,12:56:56,102995,136,1299
07/04/2025,12:56:58,102739,136,1300
07/04/2025,12:57:00,102872,137,1300
07/04/2025,12:57:02,102227,135,1302
07/04/2025,12:57:04,102606,137,1300
07/04/2025,12:57:06,103015,136,1300
07/04/2025,12:57:08,102985,137,1299
07/04/2025,12:57:10,102606,138,1300
07/04/2025,12:57:12,102606,138,1300
07/04/2025,12:57:14,102872,137,1300
07/04/2025,12:57:16,103118,137,1298
07/04/2025,12:57:18,102882,137,1300
07/04/2025,12:57:20,102483,136,1299
07/04/2025,12:57:22,102739,137,1300
07/04/2025,12:57:24,102709,137,1300
07/04/2025,12:57:26,102463,136,1299
07/04/2025,12:57:28,102872,136,1298
07/04/2025,12:57:30,102586,136,1299
07/04/2025,12:57:32,102606,136,1300
07/04/2025,12:57:34,102719,137,1299
07/04/2025,12:57:36,103364,137,1301
07/04/2025,12:57:38,102586,136,1300
07/04/2025,12:57:40,103118,135,1298
07/04/2025,12:57:42,102463,137,1299
07/04/2025,12:57:44,103487,137,1299
07/04/2025,12:57:46,103620,136,1299
07/04/2025,12:57:48,103620,135,1297
07/04/2025,12:57:50,103876,137,1299
07/04/2025,12:57:52,103088,137,1298
07/04/2025,12:57:54,103364,135,1299
07/04/2025,12:57:56,102985,137,1298
07/04/2025,12:57:58,103088,137,1299
07/04/2025,12:58:00,103457,136,1300
07/04/2025,12:58:02,103354,135,1298
07/04/2025,12:58:04,103886,136,1297
07/04/2025,12:58:06,102699,137,1297
07/04/2025,12:58:08,103610,136,1298
07/04/2025,12:58:10,103364,135,1298
07/04/2025,12:58:12,103989,135,1298
07/04/2025,12:58:14,103354,137,1298
07/04/2025,12:58:16,103344,135,1300
07/04/2025,12:58:18,103610,135,1298
07/04/2025,12:58:20,103876,136,1297
07/04/2025,12:58:22,103374,137,1297
07/04/2025,12:58:24,103487,136,1297
07/04/2025,12:58:26,103723,137,1297
07/04/2025,12:58:28,103315,137,1297
07/04/2025,12:58:30,103713,136,1297
07/04/2025,12:58:32,103723,136,1296
07/04/2025,12:58:34,104102,135,1297
07/04/2025,12:58:36,103448,134,1296
07/04/2025,12:58:38,103088,136,1297
07/04/2025,12:58:40,103969,136,1295
07/04/2025,12:58:42,103325,135,1297
07/04/2025,12:58:44,103221,135,1297
07/04/2025,12:58:46,104747,136,1295
07/04/2025,12:58:48,104102,135,1297
07/04/2025,12:58:50,103733,136,1297
